ISO-CODE-GEOGRAPHIC-UNIT;GEOGRAPHIC-NAME;ISO-CODE-PROVINCE;PROVINCE-NAME;LATITUDE;LONGITUDE;DISTRICT-NAME;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66900;-7.09102;Kabupaten Majalengka;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66901;-7.09103;Kabupaten Purwakarta;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66902;-7.09104;Kabupaten Subang;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66903;-7.09105;Kabupaten Sukabumi;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66904;-7.09106;Kabupaten Sumedang;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66905;-7.09107;Kabupaten Tasikmalaya;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66906;-7.09108;Kota Bandung;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66907;-7.09109;Kota Banjar;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66908;-7.09110;Kota Bekasi;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66909;-7.09111;Kota Bogor;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66910;-7.09112;Kota Cimahi;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66911;-7.09113;Kota Cirebon;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66912;-7.09114;Kota Depok;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66913;-7.09115;Kota Sukabumi;;;
ID-JW;Jawa;ID-JB;Jawa Barat;107.66914;-7.09116;Kota Tasikmalaya;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14026;-7.15097;Kabupaten Banjarnegara;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14027;-7.15098;Kabupaten Banyumas;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14028;-7.15099;Kabupaten Batang;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14029;-7.15100;Kabupaten Blora;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14030;-7.15101;Kabupaten Boyolali;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14031;-7.15102;Kabupaten Brebes;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14032;-7.15103;Kabupaten Cilacap;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14033;-7.15104;Kabupaten Demak;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14034;-7.15105;Kabupaten Grobogan;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14035;-7.15106;Kabupaten Jepara;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14036;-7.15107;Kabupaten Karanganyar;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14037;-7.15108;Kabupaten Kebumen;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14038;-7.15109;Kabupaten Kendal;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14039;-7.15110;Kabupaten Klaten;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14040;-7.15111;Kabupaten Kudus;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14041;-7.15112;Kabupaten Magelang;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14042;-7.15113;Kabupaten Pati;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14043;-7.15114;Kabupaten Pekalongan;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14044;-7.15115;Kabupaten Pemalang;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14045;-7.15116;Kabupaten Purbalingga;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14046;-7.15117;Kabupaten Purworejo;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14047;-7.15118;Kabupaten Rembang;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14048;-7.15119;Kabupaten Semarang;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14049;-7.15120;Kabupaten Sragen;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14050;-7.15121;Kabupaten Sukoharjo;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14051;-7.15122;Kabupaten Tegal;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14052;-7.15123;Kabupaten Temanggung;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14053;-7.15124;Kabupaten Wonogiri;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14054;-7.15125;Kabupaten Wonosobo;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14055;-7.15126;Kota Magelang;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14056;-7.15127;Kota Pekalongan;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14057;-7.15128;Kota Salatiga;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14058;-7.15129;Kota Semarang;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14059;-7.15130;Kota Surakarta;;;
ID-JW;Jawa;ID-JT;Jawa Tengah;110.14060;-7.15131;Kota Tegal;;;
ID-JW;Jawa;ID-JI;Jawa Timur;112.23840;-7.53606;Kabupaten Bangkalan;;;
